image_id,file_name,caption,chair_i,is_hallucinating,gt_objects,mentioned_objects,hallucinated_objects,n_gt,n_mentioned,n_hallucinated
16439,000000016439.jpg,"The image features a desk with a laptop computer and a glass of wine placed on it. The laptop is open and turned on, with a keyboard and mouse nearby. A cell phone is also present on the desk. Apart from the wine glass, there is a cup and a book on the desk.

In the room, there is a chair positioned close to the desk, and a couch can be seen in the background. A clock is mounted on the wall, and a vase is placed nearby. Additionally, there is a remote control on the desk, and a bottle is located in the room.",0.8571,True,laptop|wine glass,book|bottle|cell phone|chair|clock|couch|cup|dining table|keyboard|laptop|mouse|remote|vase|wine glass,book|bottle|cell phone|chair|clock|couch|cup|dining table|keyboard|mouse|remote|vase,2,14,12
17436,000000017436.jpg,"The image features a man sitting on a bench in front of a church. The church has a tall tower and a clock on its side. The man appears to be reading a book while enjoying the peaceful surroundings.

There are several potted plants in the scene, with one located near the bench where the man is sitting, and others scattered around the area. Additionally, there are two birds visible in the sky, adding to the serene atmosphere of the scene.",0.5,True,bench|person,bench|book|clock|person,book|clock,2,4,2
17959,000000017959.jpg,"The image features a lively scene in a park, where a group of people is gathered around a large kite display. The kites are shaped like fish and are flying in the air, creating a vibrant and colorful atmosphere. There are at least 13 people visible in the scene, some of them standing closer to the kites, while others are scattered around the park.

In addition to the people and kites, there are two birds present in the scene, one located near the top left corner and the other towards the top right corner. A backpack can be seen on the ground, possibly belonging to one of the people in the park.",0.0,False,backpack|kite|person,backpack|kite|person,,3,3,0
18150,000000018150.jpg,"The image features a man and a young boy sitting on a bed, enjoying a pizza together. The man is holding a slice of pizza, and the boy is eagerly waiting for his share. There are two pizza slices visible in the scene, one being held by the man and the other placed on the bed.

In the room, there is a couch located in the background, and a bottle can be seen placed nearby. The scene appears to be a cozy and intimate moment between the man and the child.",0.2,True,backpack|bottle|couch|person|pizza,bed|bottle|couch|person|pizza,bed,5,5,1
19432,000000019432.jpg,"The image features a tennis court with two men playing a game of tennis. One of the men is holding a tennis racket, while the other is holding a tennis ball. They are both actively engaged in the game, with one of them preparing to hit the ball.

There are several chairs placed around the court, likely for spectators or players to rest during breaks. The chairs are positioned at various angles and distances from the court, with some closer to the players and others further away.",0.0,False,chair|person|sports ball|tennis racket,sports ball|tennis racket,,4,2,0
19924,000000019924.jpg,"The image features a woman wearing a hat and a tie, smiling as she brushes her teeth. She is holding a cigarette in her mouth, and there is a toothbrush nearby. The woman appears to be enjoying her time, possibly in a bathroom setting.",0.3333,True,person|tie,person|tie|toothbrush,toothbrush,2,3,1
20553,000000020553.jpg,"The image features a teddy bear sitting on a chair in a desert-like setting. The teddy bear is positioned in the center of the scene, and the chair is placed on a dirt surface. There are several other teddy bears scattered around the area, some of which are placed on the ground, while others are on the chair.

In addition to the teddy bears, there are two bottles visible in the scene, one located on the right side and the other on the left side. A vase can also be seen on the right side of the image. The overall scene appears to be a playful and whimsical arrangement of stuffed animals in a desert environment.",0.25,True,bottle|chair|cup|dining table|teddy bear|umbrella|vase,bear|chair|teddy bear|vase,bear,7,4,1
20992,000000020992.jpg,"The image features a woman with short hair, wearing a black shirt and scarf, eating a hot dog. She is the main focus of the scene. The hot dog is located towards the left side of the image, with the woman's mouth positioned to take a bite.

In the background, there is a car parked on the left side of the image, and a traffic light can be seen in the upper left corner. The woman appears to be enjoying her meal in a casual setting.",0.6,True,hot dog|person,car|dog|hot dog|person|traffic light,car|dog|traffic light,2,5,3
22479,000000022479.jpg,"The image captures a skateboarder in action, performing a trick on a ramp. The skateboarder is in the air, showcasing their skill and balance. There are several other people in the scene, some of them standing or walking around, while others are engaged in various activities.

In addition to the people, there are two benches visible in the scene, one located near the ramp and the other further away. A backpack can be seen placed on the ground, possibly belonging to one of the people in the area.",0.5,True,bench|person|skateboard,backpack|person,backpack,3,2,1
22969,000000022969.jpg,"The image features a zoo enclosure with two giraffes standing next to each other. One giraffe is positioned closer to the left side of the enclosure, while the other is on the right side. They are both looking over a fence, possibly observing their surroundings or visitors.

In the background, there are a few people scattered around the enclosure, likely observing the giraffes or enjoying their visit to the zoo.",0.5,True,giraffe,giraffe|person,person,1,2,1
23272,000000023272.jpg,"The image features a cat sitting on the hood of a black car. The car is parked in front of a house, and the cat appears to be enjoying the warmth of the car's surface. The scene also includes a potted plant located near the car, adding a touch of greenery to the environment.",0.3333,True,car|cat,car|cat|potted plant,potted plant,2,3,1
24144,000000024144.jpg,"The image features a large, freshly baked pizza with a generous amount of cheese. The pizza is placed on a dining table, and it appears to be a cheese pizza with a few toppings. The pizza is cut into slices, making it easy to serve and enjoy. The table occupies most of the scene, with the pizza being the main focus.",0.5,True,pizza,dining table|pizza,dining table,1,2,1
24610,000000024610.jpg,"The image features a cozy living room with a couch and a dining table. The dining table is situated near the couch, and there is a chair placed in front of the table. A bookshelf filled with various books is located in the room, adding to the comfortable atmosphere.

In addition to the furniture, there are several items scattered throughout the room. A handbag is placed on the floor, and a backpack can be seen nearby. A laptop is resting on the dining table, and a cell phone is located on the table as well. A cup is placed on the table, and a vase is situated on the bookshelf.

A person is visible in the room,",0.6,True,backpack|book|bottle|chair|couch|laptop,backpack|cell phone|chair|couch|cup|dining table|handbag|laptop|person|vase,cell phone|cup|dining table|handbag|person|vase,6,10,6
27982,000000027982.jpg,"The image features a bathroom with a white toilet situated on the left side of the room. Next to the toilet, there is a sink with a mirror above it. A leaf-shaped decoration is placed on the sink, adding a touch of nature to the space.

In addition to the main elements, there are two bottles in the bathroom, one located near the sink and the other further away. A cup can also be seen on the right side of the room.",0.3333,True,sink|toilet,cup|sink|toilet,cup,2,3,1
28285,000000028285.jpg,"The image features a large white church with a blue roof, towering over the surrounding area. The church has a clock on its side, which is visible from different angles. There are two clocks on the church, one on the left side and another on the right side.

In addition to the church, there are two people in the scene. One person is located near the left side of the image, while the other person is situated closer to the right side. The presence of these individuals adds a sense of scale and context to the scene.",0.5,True,clock,clock|person,person,1,2,1
30675,000000030675.jpg,"The image features a large orange and yellow train traveling down the tracks. The train is positioned in the middle of the scene, with its front and back visible. The train appears to be moving at a moderate speed, as it is not too close to the viewer.

There are no people or animals visible in the image, and the focus is solely on the train and the tracks it is traveling on.",0.6667,True,train,orange|person|train,orange|person,1,3,2
31322,000000031322.jpg,"The image features a large body of water with a group of white swans swimming and floating on the surface. There are at least 14 swans visible in the scene, spread across the water. Some swans are closer to the foreground, while others are further away, creating a sense of depth in the scene.

In addition to the swans, there are several boats of various sizes scattered throughout the water. Some boats are closer to the foreground, while others are further away, adding to the overall atmosphere of the scene.",0.0,False,bird|boat|person,,,3,0,0
33707,000000033707.jpg,"The image features two giraffes standing next to each other in a grassy area. They are positioned close to a building, possibly a zoo enclosure. The giraffes are facing the same direction, creating a sense of unity between them. The scene also includes a few potted plants, one located near the left side of the image and another towards the right side. Additionally, there is a person visible in the background, possibly observing the giraffes or taking care of them.",1.0,True,giraffe,person,person,1,1,1
35770,000000035770.jpg,"The image features a bathroom with a white toilet and a white sink. The sink is situated on a glass table, which also has a cow-shaped toilet bowl on it. The toilet is positioned next to the sink, and there is a cow figurine on the table as well. The bathroom has a checkered floor, adding a unique touch to the space.",0.6667,True,sink|toilet,bowl|cow|dining table|sink|toilet|wine glass,bowl|cow|dining table|wine glass,2,6,4
37777,000000037777.jpg,"The image depicts a large, well-lit kitchen with wooden cabinets and a tile floor. The kitchen is equipped with a refrigerator, a microwave, a sink, and an oven. There is a dining table in the room, surrounded by chairs.

On the dining table, there are several oranges and a banana, adding a touch of color to the scene. A potted plant is placed near the refrigerator, and a vase can be seen on the countertop. A clock is mounted on the wall, and a bottle is located near the sink.

In addition to the main kitchen area, there is a living room visible in the background",0.4,True,banana|chair|dining table|orange|oven|potted plant|refrigerator|sink,banana|bottle|clock|dining table|microwave|oven|potted plant|refrigerator|sink|vase,bottle|clock|microwave|vase,8,10,4
38210,000000038210.jpg,"The image captures a snowy scene with a man wearing a red jacket and a hat, standing on skis and holding ski poles. He appears to be enjoying the winter sports activity. There are two other people in the scene, one of them is also wearing skis and holding ski poles.

In addition to the people, there are two dogs present in the scene, one located near the left side of the image and the other closer to the right side. The dogs seem to be accompanying the people on their skiing adventure.",0.0,False,person|skis,person|skis,,2,2,0
39484,000000039484.jpg,"The image depicts a busy city street filled with traffic and pedestrians. There are several cars parked or driving along the street, including a silver car parked on the side of the road. A truck is also visible on the street.

Numerous people can be seen walking along the sidewalk, with some of them carrying handbags. There are also a few bicycles parked or ridden by people in the scene.

The street is lined with various businesses, including a movie theater, a restaurant, and a hotel. A large billboard is visible on the side of a building, adding to the urban atmosphere.

Overall, the scene captures the",0.3333,True,airplane|car|chair|dining table|person|traffic light,car|person|truck,truck,6,3,1
41488,000000041488.jpg,"The image features a green and white street sign that reads ""No Trucks East Bronx."" The sign is positioned on a metal pole, and it is placed on a street corner. The sign is clearly visible, and it is likely meant to regulate truck traffic in the area.",1.0,True,,truck,truck,0,1,1
41990,000000041990.jpg,"The image features a group of four people standing on a snow-covered slope, all wearing ski gear and holding their skis. They are posing for a picture, likely enjoying a skiing adventure together. The people are positioned in various directions, with one person on the left side, another in the middle, and two more on the right side of the group.

There are two sets of skis visible in the scene, one set located near the leftmost person and the other set near the rightmost person. Additionally, there is a backpack placed on the ground, closer to the left side of the group.",0.3333,True,person|skis,backpack|person|skis,backpack,2,3,1
43314,000000043314.jpg,"The image captures a thrilling moment of a skier racing down a snow-covered slope. The skier is wearing a bright orange outfit and is in the middle of a sharp turn. The skier is using a pair of skis to navigate the slope, and the skis are visible in the scene.

There are two other people in the image, one located near the top left corner and the other in the top right corner. Both of them appear to be observing the skier's performance.",0.3333,True,backpack|person|skis,orange|person|skis,orange,3,3,1
45550,000000045550.jpg,"The image features a man sitting at a dining table, holding a plate with a sandwich on it. He is smiling and appears to be enjoying his meal. There are several other people in the scene, some of them sitting at the dining table, while others are standing or walking around.

In the background, there are two clocks visible, one on the left side and the other on the right side of the image. A bowl can be seen on the table, possibly containing a side dish or condiment. Additionally, there is a chair placed near the dining table.",0.4,True,bowl|clock|person|sandwich,bowl|chair|dining table|person|sandwich,chair|dining table,4,5,2
46378,000000046378.jpg,"The image features a cat lying on the ground, with a dead bird lying next to it. The cat appears to be eating the dead bird, which is a part of its natural hunting behavior. The cat is positioned towards the left side of the image, while the dead bird is located towards the right side. The scene captures the cat's instinctive response to its prey.",0.0,False,bird|cat,bird|cat,,2,2,0
46804,000000046804.jpg,"The image features a white sheep standing in a grassy field. The sheep is positioned towards the center of the scene, and it appears to be looking at the camera. The field is surrounded by a rock wall, giving the impression of a natural enclosure. The sheep is the main focus of the image, and it stands out against the backdrop of the grassy field.",0.0,False,sheep,sheep,,1,1,0
46872,000000046872.jpg,"The image features a large truck parked on a street, with a yellow trailer attached to it. The trailer is filled with various items, including a large pipe and several crates. There are two men standing near the truck, possibly loading or unloading the items.

In addition to the truck and the men, there are two other people visible in the scene, one standing closer to the left side of the image and the other near the right side. A handbag can be seen placed on the ground near the right side of the image.",0.3333,True,car|person|truck,handbag|person|truck,handbag,3,3,1
47585,000000047585.jpg,"The image features a bride and groom standing together in a grassy area, possibly a park. The bride is wearing a white dress, and the groom is dressed in a suit. They are holding an umbrella, which is open and providing shade.

There are several other people in the scene, some of whom are standing close to the couple, while others are further away. A potted plant can be seen in the background, adding to the outdoor setting.

In addition to the people, there are two birds visible in the scene, one near the top left corner and the other near the top right corner.",0.3333,True,person|tie|umbrella,person|potted plant|umbrella,potted plant,3,3,1
48396,000000048396.jpg,"The image features a woman and a young boy standing in a room, with the woman holding a knife. They are both smiling, and the woman appears to be cutting a cake. The boy is standing next to the woman, watching her as she cuts the cake.

In the room, there is a dining table with a cake on it, and a chair is placed nearby. A cup can be seen on the table, and a book is located on the floor. The scene appears to be a celebration or a gathering, with the woman and the boy enjoying the moment together.",0.1429,True,cake|chair|cup|dining table|knife|person,book|cake|chair|cup|dining table|knife|person,book,6,7,1
49091,000000049091.jpg,"The image depicts a busy city street filled with numerous signs and banners hanging from buildings. The signs are written in a foreign language, creating a unique atmosphere. There are several people walking along the street, some closer to the foreground and others further away.

In addition to the people, there are two cars visible on the street, one near the left side and the other closer to the right side. A person is also holding a cell phone, possibly capturing the moment or communicating with someone. The overall scene is bustling and full of activity.",1.0,True,,cell phone|person,cell phone|person,0,2,2
49761,000000049761.jpg,"The image features a large herd of zebras and wildebeests grazing together in a grassy field. There are at least 14 zebras and 12 wildebeests visible in the scene. The zebras are scattered throughout the field, with some closer to the foreground and others further in the background. The wildebeests are also dispersed throughout the field, with some closer to the zebras and others more towards the edges of the image. The scene captures the beauty of wildlife coexisting in their natural habitat.",0.0,False,bird|zebra,,,2,0,0
51309,000000051309.jpg,"The image features a group of horses standing in a grassy field. There are a total of six horses, with some of them being brown and black. They are positioned in various directions, with some standing closer to the foreground and others further back in the field. The horses appear to be grazing or resting in the open area.",0.0,False,horse,,,1,0,0
52007,000000052007.jpg,"The image features a yellow double-decker bus driving down a street, with a man standing on the sidewalk next to it. There are several other people in the scene, some of them standing near the bus, while others are walking or standing further away.

In addition to the bus, there are two cars visible in the scene, one located in the middle of the street and the other towards the right side of the image. A bench can be seen on the left side of the street, and a handbag is placed on the ground near the center of the scene.",0.5,True,bus|person|tie,bench|bus|handbag|person,bench|handbag,3,4,2
53624,000000053624.jpg,"The image features a large elephant standing in a watering hole, surrounded by rocks. The elephant is drinking water from the pond, and it appears to be enjoying the refreshing environment.

There are several people in the scene, some of them standing near the elephant, while others are scattered around the area. A bicycle can be seen parked in the background, and a bench is located nearby.

In addition to the elephant, there are two birds visible in the scene, one perched on a rock and the other flying above the watering hole.",0.5,True,elephant|person,bench|bicycle|elephant|person,bench|bicycle,2,4,2
59635,000000059635.jpg,"The image captures a lively scene at a beach, where a group of people is enjoying themselves. There are several surfers in the water, with one person holding a surfboard and another person nearby. A few other surfboards can be seen floating in the water.

In addition to the surfers, there are numerous onlookers watching the action from the shore. Some of these people are standing close to the water, while others are further away. The beach is bustling with activity, making it a vibrant and exciting place to be.",0.0,False,bicycle|person|surfboard,person|surfboard,,3,2,0
60102,000000060102.jpg,"The image captures a soccer game in progress, with two main players in the center of the action. One player is wearing a blue shirt, while the other is wearing a black and red shirt. They are both trying to gain control of the soccer ball, which is located near the top left corner of the image.

In addition to the two main players, there are several other people in the scene, some of whom are also wearing blue shirts. The presence of multiple players suggests that this is a competitive match.",0.0,False,person|sports ball,person|sports ball,,2,2,0
60770,000000060770.jpg,"The image features two zebras standing in a grassy field. One zebra is positioned closer to the left side of the field, while the other is located more towards the center. They appear to be grazing on the grass, enjoying their time in the open area.

In addition to the zebras, there are two birds visible in the scene. One bird is situated near the top left corner of the image, while the other is located near the top right corner. The presence of these birds adds to the natural atmosphere of the scene.",0.5,True,zebra,bird|zebra,bird,1,2,1
61471,000000061471.jpg,"The image features a brown dog standing on a bathroom rug, sniffing the floor. The dog is positioned near a toilet, which is located in the upper part of the scene. There is also a sink visible in the background, along with a bottle placed on the floor. The bathroom appears to be in a state of disarray, with various items scattered around the room.",0.25,True,bottle|dog|toilet,bottle|dog|sink|toilet,sink,3,4,1
63047,000000063047.jpg,"The image features a man wearing a Hawaiian shirt and glasses, standing outside a building. He is holding a bag and a cup, possibly enjoying a snack or a drink. There are several other people in the scene, some of them standing close to the man in the Hawaiian shirt, while others are further away.

In addition to the people, there are two dogs in the scene, one located near the center of the image and the other towards the right side. A potted plant can be seen on the left side of the image, and a clock is visible on the wall of the building.",0.6,True,cup|person,backpack|clock|cup|person|potted plant,backpack|clock|potted plant,2,5,3
63965,000000063965.jpg,"The image features a woman holding a plate with a slice of cake on it. The cake is decorated with a heart-shaped red flower, adding a touch of elegance to the dessert. The woman is wearing a pink shirt, and she is positioned in the center of the scene. The plate is placed on a dining table, which occupies the lower part of the image.",0.5,True,cake|person|spoon,cake|dining table|person|potted plant,dining table|potted plant,3,4,2
64462,000000064462.jpg,"The image features a woman wearing a blue jacket and goggles, standing on a snow-covered slope. She is holding ski poles and appears to be enjoying her time on the snowy hill. The woman is the main focus of the scene, and her presence adds a sense of adventure and excitement to the image.",0.0,False,person|skis,person|skis,,2,2,0
64499,000000064499.jpg,"The image features two zebras standing next to each other in a brick-paved area. One zebra is positioned closer to the left side of the image, while the other is located more towards the center. They appear to be looking at something, possibly a brick wall or a building. The zebras are the main focus of the scene, and their presence adds a sense of wildlife to the urban environment.",0.0,False,zebra,zebra,,1,1,0
65736,000000065736.jpg,"The image features a woman playing tennis on a court. She is holding a tennis racket and is in the middle of a swing, attempting to hit a tennis ball. The tennis ball is located near the top right corner of the image. The woman is wearing a black shirt and appears to be focused on her game.",0.0,False,person|sports ball|tennis racket,person|sports ball|tennis racket,,3,3,0
67180,000000067180.jpg,"The image features a woman sitting on a wooden bench, wearing a hat and a green jacket. She is positioned in the center of the scene, with her legs crossed. The bench is located near a stone wall, which adds to the overall atmosphere of the setting.

In the background, there is a potted plant placed on the left side of the scene, and a handbag can be seen resting on the ground, close to the woman. The scene appears to be a casual, outdoor setting where the woman is enjoying her time.",0.5,True,bench|person,bench|handbag|person|potted plant,handbag|potted plant,2,4,2
69213,000000069213.jpg,"The image features two men wearing hats and jackets, standing next to each other on a street. They appear to be engaged in conversation or observing something in the distance. There are several other people in the scene, some of whom are also wearing hats.

In the background, there are two motorcycles parked on the side of the street. Additionally, there are two benches visible in the scene, one located near the center of the image and the other towards the right side. A handbag can be seen placed on one of the benches.",0.5,True,motorcycle|person,handbag|person,handbag,2,2,1
71451,000000071451.jpg,"The image features a large, neatly made bed with white sheets and pillows. There are two white pillows on the bed, one on the left side and the other on the right side. A towel is placed on the bed, covering a significant portion of the surface. The bed is situated in a room with a door, which is open, allowing natural light to enter the space.",0.0,False,bed,bed,,1,1,0
75456,000000075456.jpg,"The image features a delicious pizza with various toppings, including ham, pineapple, and peppers. The pizza is placed in a silver pan, which is sitting on a dining table. The pizza is cut into slices, making it easy to serve and enjoy. The toppings are spread evenly across the pizza, creating a visually appealing and appetizing dish.",0.5,True,pizza,dining table|pizza,dining table,1,2,1
76468,000000076468.jpg,"The image captures a tennis match in progress, with two female tennis players standing on the court, shaking hands and congratulating each other. They are both holding tennis rackets, and there are several other people in the scene, likely spectators or fellow players.

The tennis court is surrounded by chairs, with some placed near the players and others scattered around the area. There are also a few handbags visible in the scene, likely belonging to the players or spectators. The overall atmosphere of the image is one of sportsmanship and camaraderie.",0.0,False,chair|person|tennis racket,person,,3,1,0
77396,000000077396.jpg,"The image features a living room with a television on the left side of the room. A cat is lying on the floor, occupying a significant portion of the space. Another cat is sitting on a chair, positioned towards the right side of the room. A third cat is standing on the floor, closer to the center of the room.

In addition to the pets, there are two people in the room. One person is standing near the left side of the television, while the other person is located on the right side of the room. A laptop is placed on a surface in the room, and a remote control can be seen on the left side of the television.",0.1667,True,book|cat|chair|dining table|laptop|remote|tv,cat|chair|laptop|person|remote|tv,person,7,6,1
81766,000000081766.jpg,"The image features a black dog sitting on a wooden staircase, surrounded by a few other dogs. One dog is located on the left side of the staircase, while another dog is on the right side. There is also a dog sitting on the top step of the staircase.

In addition to the dogs, there are two people in the scene. One person is standing near the left side of the staircase, while the other person is standing on the right side. The presence of these people suggests that they might be the dog owners or simply passersby.",0.5,True,dog,dog|person,person,1,2,1
82807,000000082807.jpg,"The image features a brown dog sitting on a chair, with its tongue out, seemingly enjoying a treat. The dog is positioned near a dining table, which has a cake on it. The cake is placed on a plate, and there is a bowl nearby.

In the room, there are two people, one standing closer to the left side of the image and the other person standing further to the right. Additionally, there are two chairs in the scene, one being occupied by the dog and the other one being empty.",0.3333,True,cake|chair|dining table|dog,bowl|cake|chair|dining table|dog|person,bowl|person,4,6,2
83172,000000083172.jpg,"The image captures a woman playing tennis on a court. She is in the middle of a swing, holding a tennis racket and preparing to hit the ball. The tennis ball is visible in the air, close to the woman.

There are two other people in the scene, one standing near the woman and another person further away. A chair is also present on the court, likely for players to rest during breaks.

In the background, there is a Mercedes-Benz advertisement, adding to the atmosphere of the tennis court.",0.0,False,chair|person|sports ball|tennis racket,chair|person|sports ball|tennis racket,,4,4,0
85329,000000085329.jpg,"The image features a woman with red hair, wearing a white shirt and a black necklace. She has a nose piercing and is wearing a nose ring. The woman is posing for the camera, and her eyes are green. The scene is set in a dark room, which adds a dramatic effect to the photo.",0.0,False,person|tie,person,,2,1,0
87875,000000087875.jpg,"The image features a fire hydrant situated in a grassy field. The fire hydrant is surrounded by greenery, including a tree and bushes. The hydrant is positioned near the center of the scene, with the tree and bushes on the left and right sides. The grassy field extends to the background, creating a serene and natural setting.",0.0,False,fire hydrant,fire hydrant,,1,1,0
89648,000000089648.jpg,"The image depicts a group of people sitting in chairs, each focused on their cell phones. There are at least 12 people in the scene, with some sitting closer to the front and others further back. The chairs are arranged in rows, with some people sitting closer to the front and others further back.

There are a total of 13 cell phones visible in the scene, with some people holding their phones in their hands and others using them while sitting. The chairs are positioned in various orientations, with some facing the same direction and others facing different directions.

In addition to the people and chairs, there is a handbag placed on the ground near the center of the",0.5,True,backpack|book|cell phone|chair|laptop|person,handbag|person,handbag,6,2,1
89697,000000089697.jpg,"The image features a man and a woman sitting on a park bench, engaged in a conversation. They are positioned close to each other, with the woman sitting on the left side of the bench and the man on the right. The bench is located in the middle of the scene, surrounded by a lush green park.

In the background, there are several trees, adding to the serene atmosphere of the park. The trees are scattered throughout the scene, with some closer to the foreground and others further in the background.",0.0,False,bench|person,bench|person,,2,2,0
90062,000000090062.jpg,"The image features a black and white cow standing in a yard near a wooden building. The cow is positioned in the middle of the scene, and it appears to be looking at the camera. The yard is filled with various pieces of wood, including a pile of logs and a couple of smaller stacks. The cow seems to be walking through the yard, surrounded by the wood.",0.0,False,cow,cow,,1,1,0
