image_id,caption
41488,"The image features a green street sign with white text, indicating the location of Queens, New York. The sign is placed on a pole, and it is situated near a highway. The sign is positioned in the middle of the scene, with the highway stretching out in the background."
41990,"The image features three women standing on a snowy hill, each wearing skis. They are posing for a picture, with one woman on the left, another in the middle, and the third on the right. The women are all smiling, enjoying their time on the snowy slope.

In addition to the skis, there are two backpacks visible in the scene. One is located near the leftmost woman, while the other is placed"
43314,"The image captures a thrilling moment of a skier in action, as they are captured in mid-air while skiing down a snowy slope. The skier is wearing an orange and white outfit, and their skis are visible in the air.

In the background, there are two more people, possibly watching the skier or waiting for their turn to ski. The scene is set against a beautiful snowy mountain backdrop, making it an"
45550,"The image features a man sitting at a dining table, holding up a plate with a sandwich on it. He is smiling and appears to be enjoying his meal. The table is surrounded by chairs, with one chair visible on the left side of the table and another on the right side.

In the background, there are several other people present, some of whom are seated at the table, while others are standing or sitting in the area."
46378,"The image features a cat lying on the ground, with a dead bird in its mouth. The cat is positioned towards the left side of the scene, while the bird is located towards the right side. The cat appears to be enjoying its meal, as it is eating the bird."
46804,"The image features a large, fluffy white sheep standing in a grassy field. The sheep is positioned in the middle of the scene, occupying a significant portion of the image. The grassy field extends from the foreground to the background, providing a natural setting for the sheep."
46872,"The image features a flatbed truck parked on the street, with a large pipe or tube placed on the back of the truck. The truck is parked in front of a building, and there are two men standing nearby, possibly discussing the pipe or tube.

In addition to the truck, there are two suitcases visible in the scene, one located near the left side of the truck and the other closer to the right side"
47585,"The image features a bride and groom standing together under an umbrella. The bride is wearing a white dress, while the groom is dressed in a suit. They are both smiling, enjoying their special day.

In the background, there are several other people, some of whom are also holding umbrellas. The scene appears to be a lively outdoor gathering, with the couple at the center of attention."
48396,"The image features a woman and a young boy standing in a kitchen, both holding knives. The woman is on the left side of the image, while the boy is on the right side. They appear to be preparing a meal together.

The kitchen is equipped with a dining table in the background, and a chair is placed nearby. There are two bowls on the table, one closer to the woman and the other near the boy. Additionally,"
49091,"The image depicts a narrow alleyway in an Asian city, filled with numerous signs written in an Asian language. The signs are hanging from the sides of buildings, creating a unique atmosphere.

In addition to the signs, there are several people walking along the alleyway, possibly exploring the area or going about their daily activities. The scene is bustling with activity, showcasing the vibrant and lively nature of the city."
49761,"The image features a large herd of zebras and wildebeests gathered in a grassy field. There are at least 14 zebras and 11 wildebeests visible in the scene. The zebras are spread out across the field, with some closer to the foreground and others further in the background. The wildebeests are also dispersed throughout the field, with some near the zebras and others in the middle"
51309,"The image features a group of horses standing together in a grassy field. There are five horses in total, with some of them being brown and black. The horses are positioned in various directions, creating a sense of depth in the scene.

In addition to the horses, there is a small horse, likely a foal, standing close to the adult horses. The foal is located on the left side of the image, near the center. The horses are all"
52007,"The image features a yellow double-decker bus parked on the side of the road. There are several people around the bus, with some standing close to it and others further away. One person is standing near the bus, while another is standing further back.

In addition to the bus, there are two bicycles in the scene. One bicycle is located near the left side of the image, while the other is positioned more towards the center."
53624,"The image features an elephant standing in a watering hole, drinking water from the pond. The elephant is the main focus of the scene, with its trunk submerged in the water.

In the background, there are several people observing the elephant from a safe distance. Some of them are standing close to each other, while others are scattered around the area. The scene appears to be a mix of a zoo or a"
59635,"The image captures a lively scene at a beach, where a group of people is gathered around a surfboard. A woman is holding the surfboard, while another person is standing nearby. There are several other people in the scene, some of whom are closer to the water, while others are further back.

In the background, there are two bicycles parked, possibly belonging to some of the beachgoers. The overall atmosphere suggests a fun"
60102,"The image features two young men playing soccer on a field. One of the men is wearing a blue shirt, while the other is wearing a black and red shirt. They are both focused on the soccer ball, which is located in the middle of the field.

The players are positioned close to each other, with one player on the left side of the field and the other on the right side. The soccer ball is in the air"
60770,"The image features two zebras standing in a grassy field. One zebra is positioned closer to the left side of the image, while the other is located more towards the right side. They appear to be grazing on the grass in the field.

In the background, there are a few trees, with one tree located near the left side of the image and two more trees on the right side. The scene is set in a lush green field"
61471,"The image features a small brown dog standing on a bathroom rug, sniffing the floor. The dog is positioned close to a white toilet, which is located on the left side of the room. The bathroom also contains a sink, which is situated on the right side of the room.

In addition to the toiletries, there are several bottles scattered around the bathroom. Some are placed on the floor, while others are located"
63047,"The image features a man wearing a Hawaiian shirt, holding a bag of food in his hand. He is standing in front of a building, possibly a restaurant or a food stand. There are several other people in the scene, some of them standing close to the man, while others are further away.

In the background, there is a cup placed on a surface, possibly a table or counter. The scene appears to be a lively gathering or a"
63965,"The image features a woman holding a plate with a slice of cake on it. The cake is decorated with a heart-shaped red flower, adding a touch of elegance to the dessert. The woman is positioned in the center of the scene, with the cake occupying the majority of the plate. The plate is placed on a dining table, which is visible in the background."
64462,"The image features a woman wearing a blue jacket and goggles, standing on a snowy hill with her skis on. She is smiling and appears to be enjoying her time on the snowy slope. The woman is the main focus of the scene, with her skis prominently visible."
64499,"The image features two zebras standing next to each other in a brick-paved area. One zebra is positioned closer to the left side of the image, while the other is located more towards the right side. They appear to be standing near a wall, possibly in a courtyard or a similar outdoor setting."
65736,"The image features a woman playing tennis on a court. She is holding a tennis racket and is in the process of hitting a tennis ball with it. The woman is wearing a black shirt and shorts, and she is focused on her game.

The tennis ball is in the air, close to the woman, while the tennis racket is positioned in her hand, ready for the next swing. The scene captures the intensity and skill of the woman"
67180,"The image features a woman sitting on a wooden bench, wearing a hat and a green jacket. She is positioned in the middle of the bench, with her legs crossed. The bench is located near a stone wall, which adds to the overall atmosphere of the scene."
69213,"The image features two men wearing hats, standing close to each other on a street. They are both dressed in suits, with one man wearing a blue suit and the other wearing a brown suit. The men appear to be engaged in conversation or simply enjoying each other's company.

In the background, there are several other people visible, some of whom are also wearing hats. Additionally, there are two motorcycles parked nearby"
71451,"The image features a neatly made bed in a hotel room. The bed is covered with white sheets and has two white pillows on it. A towel is placed on the bed, with one end of the towel hanging off the side. The room appears to be well-maintained, and the bed is the main focus of the scene."
75456,"The image features a delicious pizza with a variety of toppings, including ham, pineapple, and peppers. The pizza is placed in a metal pan, which is filled with the pizza slices. The pizza is cut into several pieces, making it easy to serve and enjoy. The pizza is placed on a dining table, ready to be shared among friends or family."
76468,"The image features two female tennis players on a court, shaking hands and exchanging a friendly gesture. They are both holding tennis rackets, with one racket closer to the left side of the court and the other racket closer to the right side.

There are several other people in the scene, some of them possibly being the audience or other players. A chair is also visible in the background, likely placed for the players to rest during breaks. The overall"
77396,"The image features a living room with a television on the left side of the room. A cat is lying on the floor, stretching out and enjoying the relaxing atmosphere. Another cat is standing nearby, possibly observing the first cat.

In the room, there is a chair positioned towards the right side of the scene. A laptop is placed on a surface close to the television, and a remote control can be seen on the right side of the room."
81766,"The image features a large black dog sitting on a set of wooden steps. The dog is positioned in the middle of the scene, occupying the majority of the image.

In the background, there are two other dogs, one located on the left side of the image and the other on the right side. The scene also includes a person standing near the left side of the image, possibly observing the dogs or interacting with them."
82807,"The image features a small brown and white dog sitting on a chair, seemingly enjoying a dessert. The dog is positioned close to a dining table, where a cupcake is placed on the table. The chair is located near the edge of the table.

In the background, there are two people, one on the left side and the other on the right side of the image. Additionally, there are two cups placed on the table, one"
83172,"The image features a woman playing tennis on a court. She is in the middle of a swing, holding a tennis racket in her hand. The tennis ball is in the air, close to the woman.

There are two other people in the scene, one standing near the left side of the court and the other person located on the right side. A chair is also visible on the right side of the court."
85329,"The image features a woman with a unique appearance, including a nose piercing and a tattoo on her face. She is wearing a white shirt and has a black choker necklace. The woman is also wearing a pair of glasses, which adds to her distinctive look. The scene is set in a dark room, with the woman standing in the center of the image."
87875,"The image features a fire hydrant situated in a grassy area. The fire hydrant is surrounded by greenery, with a tree and bushes nearby. The hydrant is positioned close to the edge of the grassy field, making it easily accessible. The scene is set in a park-like environment, providing a peaceful atmosphere."
89648,"The image depicts a group of people sitting in chairs, each focused on their cell phones. There are at least nine people in the scene, with some sitting closer together and others more spread out. The chairs are arranged in various positions, with some people sitting on the left side, others in the middle, and a few on the right side.

In addition to the people and chairs, there are two cell phones visible in the scene."
89697,"The image features a man and a woman sitting on a park bench, engaged in a conversation. They are the main focus of the scene, with the woman sitting on the left side of the bench and the man on the right.

In the background, there are several potted plants scattered throughout the area, adding a touch of greenery to the scene. The plants are placed at various distances from the bench, with some closer to the foreground and others"
90062,"The image features a black and white cow standing in front of a wooden building. The cow is positioned near the center of the scene, with its head slightly turned to the right. The building appears to be a log cabin, and there are several logs scattered around the area.

In addition to the cow, there are two people in the scene, one located on the left side and the other on the right side. The people seem to be observing the cow or"
90284,"The image features a woman playing tennis on a clay court. She is in the middle of a swing, holding a tennis racket and preparing to hit the ball. The woman is wearing a blue dress, which adds a pop of color to the scene.

The tennis ball is visible in the air, close to the woman, as she is in the process of making contact with it. The court is surrounded by a few chairs, with one chair located"
93154,"The image depicts a busy street with a variety of vehicles, including cars, trucks, and a motorcycle. There are several cars parked along the street, and a few trucks can be seen as well. A motorcycle is parked on the side of the road.

A traffic light is visible in the scene, and there are multiple pedestrians walking along the sidewalk. Some of them are carrying handbags. The"
93717,"The image is a collage of various photos featuring a man performing a skateboard trick. In one of the photos, the man is captured in mid-air, showcasing his skill and balance. The collage also includes other photos of the skateboarder in different positions, such as preparing to jump, landing, and riding the skateboard.

There are multiple skateboards visible in the collage, with one in the foreground"
94185,"The image features a large black teddy bear standing in front of a store, possibly a toy shop. The teddy bear is holding a sign, which reads ""Build a Bear."" The storefront is adorned with various teddy bears, showcasing the store's merchandise.

In addition to the teddy bears, there are several other items displayed in the store, including a cup and a cake. The scene is"
96001,"The image features a table with a variety of items on display. There is a green umbrella prominently placed on the table, as well as a book and a vase. Additionally, there are two bowls, one located near the top left corner and the other towards the bottom left corner. A small cat figurine is also present on the table, situated towards the right side. The table appears to be a part of a display, possibly in a store or"
96549,"The image features a large white and blue EgyptAir airplane parked on the runway. The airplane is positioned in the middle of the scene, with its wings extending from the left to the right side. The airplane is lit up, possibly indicating that it is preparing for takeoff or has recently landed.

There are two people visible in the scene, one located near the left side of the image and the other person standing closer to the"
97230,"The image features two elephants standing close to each other in a grassy area. They are surrounded by a lush green forest, with trees and bushes in the background. The elephants appear to be interacting with each other, possibly engaging in a playful or social activity. The scene captures the beauty and serenity of the natural habitat of these majestic creatures."
97679,"The image features a gray car parked on a rocky surface, possibly a beach or a dirt road. The car has a surfboard strapped to the top, indicating that the occupants might be interested in surfing or other water sports.

There are several people in the scene, with one person standing close to the car, another person further away, and two more individuals in the background. The presence of these people suggests that they might be friends"
100274,"The image features a train yard with several trains parked on the tracks. There are two trains prominently visible, one occupying the left side of the scene and the other stretching across the middle of the yard.

In addition to the trains, there are a few cars parked in the yard, with one car located near the left edge of the scene and two more cars on the right side. A person can be seen standing near the middle of the scene"
100428,"The image features two men in a room, with one man holding a tie around the other man's neck. The man with the tie is making a funny face, while the other man appears to be in distress. The scene is set in front of a mirror, which adds to the comedic atmosphere. The two men are the main focus of the image, with the tie being the central element of the scene."
101780,"The image features a zoo enclosure with a group of giraffes and a rhino. There are five giraffes in the enclosure, with one standing close to the left side, another in the middle, and three more towards the right side. The rhino is located towards the right side of the enclosure.

In addition to the animals, there are two people visible in the scene. One person is standing near the left side of the en"
104572,"The image features a public restroom with a unique design. The walls are covered in a vibrant orange and white mosaic pattern, creating a visually striking atmosphere. The restroom is equipped with two sinks, one on the left side and the other on the right side.

There are two mirrors in the room, one above the left sink and the other above the right sink. The room also contains a toilet situated in the background"
104669,"The image features a white plate filled with a delicious meal. The plate is topped with a variety of vegetables, including several carrots, broccoli, and potatoes. There are also a few pieces of meat, possibly steak, on the plate. The dish is placed on a dining table, which occupies the majority of the scene.

In addition to the main plate, there are two smaller plates visible in the background"
106281,"The image features a train yard with multiple trains on the tracks. There are two trains prominently visible, one occupying the left side of the scene and the other stretching across the middle. In addition to these trains, there are two smaller trains in the background.

The train yard is bustling with activity, as there are several people scattered throughout the scene. Some are standing close to the trains, while others are further away, possibly attending to their"
107087,"The image features a black cat sitting in the passenger seat of a car. The car is parked, and the cat appears to be looking out the window. The car's interior is visible, including the passenger seat where the cat is sitting."
107094,"The image features a man standing on a snowy hill, wearing skis and holding ski poles. He is posing for the camera, likely enjoying a nighttime skiing adventure. The man is the main focus of the scene, with the skis and poles clearly visible.

In the background, there are several cars parked, possibly belonging to the people who are skiing or have come to enjoy the winter activities. The cars are scattered"
109118,"The image is an old black and white photograph featuring three men wearing baseball uniforms. They are standing next to each other, with one man sitting on a chair in the middle. The men are all wearing baseball gloves, with one glove visible on the left side of the image, another on the right side, and the third one in the middle. The men are posing together, likely as a team or for a special occasion."
109827,"The image features a large brown teddy bear sitting on the sidewalk next to a street. The teddy bear is placed on the curb, possibly waiting for someone to pick it up. The street is lined with trees, providing a pleasant atmosphere.

In the background, there is a stop sign visible, indicating the presence of an intersection or a controlled area. The scene is a mix of urban life and the comforting presence of the teddy bear."
110042,"The image features a whiteboard with a sign on it, likely advertising a toilet. The sign is placed in a grassy area, possibly at an outdoor event. There are several people in the scene, with some standing close to the sign and others scattered around the area.

In addition to the people, there are a few potted plants in the scene, one near the left side of the image and another towards the right side. A chair is"
114871,"The image features a white plate with a piece of cake and a banana on it. The cake is placed on the left side of the plate, while the banana is situated on the right side. The plate is positioned on a dining table, which occupies the majority of the scene."
117197,"The image features a woman sitting on the ground, talking on her cell phone. She is positioned near a pole, which is located in the middle of the scene. The woman is wearing blue jeans and appears to be engaged in a conversation.

In the background, there are several potted plants placed at various distances from the woman. Some of these plants are located close to the woman, while others are further away. The scene gives the impression of a cas"
117492,"The image depicts a lively scene of a large group of people, including both adults and children, gathered in a park. They are walking together, possibly participating in a parade or a similar event. The crowd is spread out across the park, with some people closer to the foreground and others further in the background.

There are several teddy bears visible in the scene, with one near the center of the image and another towards the right"
118594,"The image features two large, long-horned cattle standing in a grassy field. One of the cows is positioned closer to the left side of the field, while the other is more towards the right side. The cows are grazing on the grass, enjoying the open space.

In the background, there is a fence that separates the field from the surrounding area. The scene is a peaceful representation of rural life and the natural habitat"
119365,"The image features a young girl sitting at a table, using a laptop computer. She is focused on the screen, which displays a variety of images. Another person is also present in the scene, standing near the laptop.

In addition to the laptop, there are two cell phones in the scene, one located near the laptop and the other further away. A chair is visible in the background, and a TV can be seen in the upper right corner of the image."
119516,"The image depicts a woman standing on a city street at night, holding a cell phone. She is positioned near the center of the scene. The street is bustling with activity, as there are multiple cars and a bus visible in the background.

In addition to the vehicles, there are two bicycles in the scene, one located closer to the right side of the image and the other further to the left. A handbag can also be seen"
119911,"The image features a young man skillfully riding a skateboard down a street. He is wearing a baseball uniform, which adds a sporty touch to the scene. The street is lined with houses, and there are a few cars parked along the road.

In addition to the main skateboarder, there are two other people in the scene, one standing near the left edge of the image and the other person located further back on the right"
119995,"The image features a tennis court with a man in a blue shirt and black shorts playing tennis. He is in the middle of a swing, holding a tennis racket and preparing to hit the ball. Another person is visible in the background, possibly watching the game or waiting for their turn to play.

There are two tennis rackets in the scene, one being held by the player and the other one placed on the ground. The court is surrounded by ch"
120420,"The image features a man holding a small digital camera up to his face, capturing a selfie. He is wearing a green shirt and appears to be enjoying the moment.

In the background, there are several other people present, some of whom are carrying handbags. The scene suggests a social gathering or an event where people are taking pictures and interacting with each other."
120853,"The image features a dining table with a plate containing a sandwich and a bowl of coleslaw. The sandwich is cut in half, revealing the meat inside. The coleslaw is placed in a bowl next to the sandwich, creating a delicious and satisfying meal.

In addition to the main dish, there are two cups on the table, one near the top left corner and the other near the top right corner."
121242,"The image features a horse-drawn carriage with two men riding in it. The horse is positioned on the right side of the carriage, and the men are seated on the left side. The carriage is traveling down a road, with several cars parked or moving in the background.

In addition to the horse-drawn carriage, there are two other horses visible in the scene, one located near the center and the other on the right side."
121417,"The image features a woman sitting on a bench, holding a pink umbrella over her head. She is talking on her cell phone while seated. The bench is located on the side of a street, and there is a handbag placed nearby.

In the background, there are two other people, one standing closer to the left side of the image and the other person further to the right. Additionally, there is a car parked in the background"
121591,"The image features a skateboarder performing a daring trick on a pink wall. The skateboarder is in mid-air, with the skateboard underneath him, showcasing his skill and agility. The scene is set in a skate park, where the skateboarder is the main focus."
125472,"The image features a young man performing a trick on a skateboard, jumping high into the air. He is wearing a green shirt and appears to be in the middle of the trick. The skateboard is positioned underneath him, with the skateboarder's feet hovering above it. The scene captures the excitement and skill involved in skateboarding."
125850,"The image features a small gray cat curled up and sleeping inside a bowl. The bowl is placed on a wooden table, and the cat appears to be comfortably resting in the bowl. The scene is cozy and endearing, showcasing the cat's ability to find a comfortable spot to sleep."
126137,"The image captures a tennis match in progress, with a man in the center of the scene holding a tennis racket. He is in the middle of a swing, possibly preparing to hit the ball. The tennis player is wearing a white shirt and is surrounded by several other people, likely spectators or fellow players.

In the background, there are multiple chairs and benches, suggesting that the match is taking place in a public area or a sports"
127476,"The image features a large, messy pizza with a variety of toppings. The pizza is placed on a metal tray, which is sitting on a dining table. The pizza is topped with a generous amount of black olives, mushrooms, and meat. The olives are scattered all over the pizza, with some being closer to the edges and others more centrally located. The mushrooms are also spread out, with"
128372,"The image depicts a group of people waiting at a bus stop for a bus to arrive. There are at least nine people visible in the scene, with some standing closer to the bus stop and others further away.

A bus is parked on the left side of the image, occupying a significant portion of the scene. The bus is likely the one the people are waiting for. The people are patiently waiting for the bus to arrive, possibly for a ride"
129135,"The image features a yellow and blue train parked at a train station. The train is positioned on the tracks, occupying a significant portion of the scene. The train station has a bench located near the train, providing a place for passengers to sit and wait for their ride. The bench is situated close to the train, making it easily accessible for those waiting for the train to depart."
129945,"The image captures a baseball game in progress. A baseball player is in the middle of swinging a bat, attempting to hit the ball. The batter is wearing a baseball glove, ready to catch the ball if it comes their way.

There are several other people in the scene, including teammates and opponents. Some of them are standing close to the batter, while others are scattered around the field. A baseball glove can be seen in the"
130599,"The image features a man wearing a red hat, standing next to a giraffe statue. The man appears to be playfully interacting with the giraffe, as if it were a real animal. The giraffe statue is positioned in the middle of the scene, with the man standing on the left side.

In the background, there are two cars visible, one on the right side and the other further back on the left side. Additionally,"
130613,"The image features a dining table with a plate containing a variety of food items. There are three fish, possibly anchovies, placed on the plate, accompanied by a carrot. The plate is placed on a tray, which is resting on the table.

In addition to the main plate, there are two smaller plates on the table, one located near the top left corner and the other near the top right corner. A knife can be seen"
131938,"The image features a gray cat wearing a tie with a cat design on it. The cat is sitting on a bed, possibly on a blanket, and appears to be looking at the camera. The tie is positioned around the cat's neck, adding a unique and playful touch to the scene."
